"","organization"
"216","When the Joint Committee on Taxation found the Republican tax bill would balloon the budget deficit, Republicans tried to discredit it."
"217","Groups like the Koch-funded Americans for Prosperity are trying to convince ordinary Americans that this is good for them too."
"218","Members of Germany's center-left Social Democrats aired differences Tuesday over whether to renew their governing coalition with conservative Chancellor Angela Merkel, while the right of migrants to bring relatives to Germany resurfaced as a poten..."
"219","The premier of Germany's most populous state has become the most senior member of Chancellor Angela Merkel's conservative bloc to throw his weight behind French President Emmanuel Macron's proposals for deepening and reforming the European Union."
"220","China will ""significantly"" widen market access for foreign investors, state radio on Wednesday quoted vice premier Wang Yang as saying, following a recent move to raise foreign ownership limits in local financial firms."
"221","The nomination to be ambassador to Singapore of K.T. McFarland, a former security adviser to President Donald Trump, has been delayed due to concerns about her testimony to Congress over communications with Russia, the chairman of the Senate Forei..."
"222","The Latest on the budget battle in Congress (all times local):"
"223","Your daily look at late-breaking news, upcoming events and the stories that will be talked about Wednesday:"
"224","In a story Dec. 5 about taxes, The Associated Press reported erroneously the name of the Committee for a Responsible Federal Budget."
"225","Brazil's prosecutor general officially presented money laundering and criminal association charges against six people, including a former federal minister and a congressman, Brazilian media reported on Monday evening."
"226","A group of Mexican opposition senators proposed a constitutional reform on Wednesday that would enable a sitting president to face trial for corruption for up to three years after leaving office, in a bid to bolster the fight against graft."
"227","Russian President Vladimir Putin said on Wednesday a complete victory had been achieved over Islamic State militants on both banks of the Euphrates river in Syria."
"228","The International Olympic Committee (IOC) on Wednesday said it would not make any payments to the international boxing federation AIBA until problems over governance and finances are sorted out."
"229","Members of a rising nationalist party in Germany elected their leadership Saturday at a convention in the city of Hannover that was overshadowed by protests."
"230","The plea raised uncomfortable questions about what the former national security adviser might be telling the special counsel, Robert S. Mueller III."
"231","U.S. President Donald Trump plans to nominate Jelena McWilliams, Fifth Third Bancorp's top attorney, to serve as the next head of the Federal Deposit Insurance Corporation, the White House said on Thursday."
"232","The House Benghazi committee used $150,000 in taxpayer money to settle a lawsuit filed by a former aide who alleged he was fired in part because he was not willing to focus his investigative work on Hillary Clinton, documents released Friday show."
"233","The National Academy of Sciences called on the federal government to make drastic policy changes to bring down the cost of prescription medicines."
"234","President Donald Trump will not announce a decision on Monday on whether he will again delay moving the U.S. embassy in Israel to Jerusalem, a White House spokesman said, despite Monday's deadline for doing so."
"235","U.S. Republican Representative Joe Barton of Texas will not seek re-election, his office said in a statement on Thursday, in a decision he made after a nude picture of him appeared on the internet earlier this month."
"236","The Latest on a trial challenging Pennsylvania's congressional district map (all times local):"
"237","Three fighters from forces loyal to the former Yemeni president Ali Abdullah Saleh were killed in a second day of clashes with their own allies from the Houthi movement in the capital Sanaa, Saleh's party said on Thursday."
"238","Shares of the biggest U.S. banks rose on Monday, after the Senate approved a tax overhaul bill on Saturday, raising investor hopes that their earnings would get a boost from a  significantly lower tax bill."
"239","He spurned several job offers from Lyndon Johnson before finally accepting the role of White House gatekeeper, though without the chief of staff title."
"240","The party, which criticized the growth of the federal debt under President Barack Obama, has rallied behind a tax cut that would send it to new heights."
"241","Mainstream lawyers and law professors in China are taking a risk in speaking out against a move that they say would violate the country’s Constitution."
"242","Vice President Mike Pence said Tuesday that President Donald Trump is ""actively considering when and how"" to move the U.S. Embassy from Tel Aviv to Jerusalem, a decision fiercely opposed by the Palestinians."
"243","Your daily look at late-breaking news, upcoming events and the stories that will be talked about Tuesday:"
"244","Weak U.S. inflation is not troubling even in the face of full employment, one of the Federal Reserve's more influential policymakers said on Monday, reinforcing the central bank's mantra that it is gradually raising interest rates. "
"245","Something in Brazil has snapped."
"246","China has embraced globalization, aiming to become an example for emerging economies."
"247","Republican leaders in Washington are coming to grips with the possibility &#8212; perhaps even probability &#8212; that Alabama's Roy Moore will win his special election next Tuesday and join them in the capital."
"248","President Donald Trump on Monday shrank two wilderness national monuments in Utah by at least half in the biggest rollback of public land protection in U.S. history, drawing praise from pro-development lawmakers and a lawsuit from environmentalist..."
"249","The tax overhaul Republicans are pushing toward final votes in Congress could undermine the Affordable Care Act's health insurance markets and over time add to the financial squeeze on Medicare."
"250","A decrease in arrests at the border shows that the administration’s deterrence efforts are effective, Homeland Security officials said."
"251","Three Democratic leaders are still railing, and rallying, against the G.O.P. legislation, saying its impact would be devastating to their states."
"252","The Flynn deal opens the door to charges against the president’s inner circle — and his family."
"253","Seeking to bolster the ailing U.S. Postal Service, federal regulators moved on Friday to allow bigger jumps to stamp prices beyond the rate of inflation, a move that could eventually add millions more dollars to companies' shipping rates from pres..."
"254","The leader of Germany's Social Democrats (SPD) said on Monday he would launch talks with Chancellor Angela Merkel's conservatives on forming a government next week if members of his centre-left party gave him the green light at a congress this wee..."
"255","Senate Republicans rallied around a U.S. tax overhaul bill on Friday, with Maine moderate Susan Collins announcing her support for it after obtaining agreements for several changes, giving the sweeping legislation sufficient votes to win passage."
"256","John Conyers III, whose father endorsed him for a House seat he resigned amid harassment allegations, was arrested in February after his girlfriend suffered knife cuts during an argument."
"257","That gun bill is back, but then again, there’s a hero cat."
"258","A federal law barring states from authorizing commercial wagering on sports seemed to be in trouble at the Supreme Court."
"259","Testing the resolve of Democrats, Senate Majority Leader Mitch McConnell declared Sunday there won't be a government shutdown this week over the question of protecting immigrants brought to the country illegally as children, describing it as a ""no..."
"260","President Trump said he was the “opposite of an exaggerator” before falsely claiming the tax cut “is not good for me” and would be the largest in history."
"261","The president plans to repeal protections on as much as two million acres of public land in Utah."
"262","President Donald Trump said Sunday in a tweet that he never asked former FBI Director James Comey to stop investigating his ex-national security adviser Michael Flynn, issuing a fresh denial amid a shifting timeline on when he may have known that ..."
"263","Wall Street's fear of missing out on a relentless rally appears to be trumping rising political risk in a high-stakes December in Washington. "
"264","Many U.S. flight attendants lack the training in how to deal with complaints of on-board sexual harassment, an industry union and Democratic lawmakers say, raising questions about whether airlines are prepared to protect passengers from predatory ..."
"265","Wall Street banks and big regional lenders are scrambling to secure changes to a U.S. Senate bill easing rules on smaller banks ahead of a key lawmaker meeting next week, several bank lobbyists told Reuters."
"266","The Latest on the Senate confirmation hearing of Jerome Powell, President Donald Trump's nominee for Federal Reserve chairman (all times local):"
"267","Here are some of the top differences that must be resolved before the legislation can be signed into law."
"268","The discussions being held among Republican lawmakers come one day before the Senate is expected to vote to begin the process of aligning its bill with the House-passed legislation."
"269","Graduate students around the U.S. are staging campus walk-outs and lobbying Congress in an effort to keep their tuition waivers tax-free."
"270","For most of the time Syrian refugee Mohammad Al Zayed has been in the United States, judges have been wrestling with the Trump administration's efforts to impose travel restrictions that he says would keep him from seeing relatives who remain over..."
"271",""
"272","A proposal to create hundreds of new judgeships to undo President Barack Obama’s judicial legacy is wrongheaded and based on false assumptions."
"273","Here’s the bill Congress needs to pass now to improve reporting and keep guns out of dangerous hands."
"274","The agency’s administrator is tearing down environmental protections that his organization should be championing."
"275","The Latest on alleged sexual misconduct by Rep. John Conyers (all times local):"
"276","Republican U.S. Representative Trent Franks said on Thursday he would resign after two female staffers complained that he had discussed surrogacy with them."
"277","A Mexican presidential hopeful and governor of a wealthy border state said he would cut taxes to compete with lower rates in the United States if President Donald Trump's fiscal reform passes Congress, hinting at a broader potential response in Me..."
"278","Dragging its abysmal standards lower, it may throw more money at billionaires to win two crucial votes."
"279","Asian share indexes advanced Friday, guided by Wall Street gains and healthy quarterly economic data from Japan."
"280","The tax overhaul legislation passed by the U.S. Senate jettisoned a long-held Republican goal of repealing the corporate alternative minimum tax (AMT), a move seen as hurting companies that invest heavily in research and development."
"281","The Latest on Republican tax overhaul legislation (all times local):"
"282","The head of Nissan Motor Co.'s operations in North America said Monday that the company is undaunted by congressional efforts to do away with a federal tax credit for plug-in electric vehicles."
"283","The top Democrat on the House intelligence committee says Attorney General Jeff Sessions would not directly answer in a closed-door interview Thursday whether President Donald Trump ever asked him to hinder the Justice Department's investigation i..."
"284","A spate of sexual misconduct accusations against U.S. politicians and other powerful men will force candidates for the November 2018 congressional elections to weigh more carefully than ever whether their past behavior could doom their chances."
"285","U.S. Senate Republicans rammed forward President Donald Trump's tax-cut bill on Tuesday in an abrupt, partisan committee vote that set up a full vote by the Senate as soon as Thursday, although some details of the measure remained unsettled."
"286","The top House Democrat on Saturday called for Nevada Rep. Ruben Kihuen to resign after a former aide accused the first-term lawmaker of repeatedly making sexual advances toward her during the 2016 congressional campaign."
"287","The mediator of U.N.-led Syrian peace talks in Geneva will assess next week whether either side is trying to sabotage the process, he said on Thursday, after President Bashar al-Assad's negotiators said they would turn up five days late."
"288","Over 30 technology companies including Alphabet Inc, Amazon.com Inc and Facebook Inc. on Friday urged a U.S. patent court to disregard drugmaker Allergan Plc's contention that its transfer of some of its patents to a Native American tribe shields ..."
"289","The House Ethics Committee said Thursday it is expanding its investigation into sexual harassment allegations against Republican Rep. Blake Farenthold of Texas."
"290","The children remain in their hearts as they work to prevent future gun violence."
"291","The U.S. Environmental Protection Agency could launch a public debate about climate change as soon as January, Administrator Scott Pruitt said on Thursday, as the agency unwinds Obama-era initiatives to fight global warming."
"292","Sen. Lindsey Graham said Sunday that he believes it's time to start moving the families of American military personnel out of South Korea as North Korea pushes the U.S. closer to a military conflict."
"293","The planned tax cuts may cost the company $20 billion. In theory, investors should be up in arms. But the potential loss is actually pretty helpful."
"294","A bipartisan group of U.S. lawmakers has introduced a bill that would ban agreements to keep sexual harassment and discrimination claims out of court, amid a wave of sexual misconduct allegations against powerful men. "
"295","Former longtime Illinois Rep. John Anderson, who ran for president as an independent in 1980, has died at age 95."
"296","The U.S. Justice Department said on Tuesday that it is  considering a possible ban on certain bump stocks, the attachments that make semiautomatic rifles fire faster and were used in the deadliest mass shooting in modern U.S. history in Las Vegas ..."
"297","More than any other politician, he led the push against Lyndon Johnson’s war — and broke his party in two."
"298","Members of Virginia tribes that count Pocahontas among their ancestors said Tuesday that President Donald Trump should not use her name for political gain."
"299","A Democratic U.S. senator is backing away from a proposed legislative tweak that would have helped big banks lessen their capital burden, according to a statement provided to Reuters on Monday."
"300","Time magazine has named the social movement aimed at raising  awareness about sexual harassment and assault, epitomized by the #MeToo social media hashtag, as the most influential ""person"" in 2017, the publication announced on Wednesday."
"301","U.S. Secretary of State Rex Tillerson said there was no truth in reports that the White House had a plan to fire him and replace him with CIA chief Mike Pompeo."
"302","The Republican-led House easily approved legislation Tuesday that would restrict financial aid that directly benefits the Palestinian Authority until it takes credible steps to end what lawmakers say is a practice of rewarding Palestinians who kil..."
"303","A top Republican senator said Monday his comments were misinterpreted when he defended GOP efforts to scale back the federal estate taxes because it helps those who invest rather than people who spend their money on ""booze or women or movies."""
"304","House Democratic Leader Nancy Pelosi on Monday slammed a Republican bill that would make it easier for gun owners to legally carry concealed weapons across state lines ahead of a House vote later this week. It would be the first action by Congress..."
"305","Five House Republicans in New York and New Jersey who voted for the tax plan are trying to blame state leaders for fostering high-tax environments."
"306","Readers bemoan plans to shrink two national monuments in Utah and to drill near Chaco Canyon."
"307","Courts in the United States cannot put Turkey on trial, Turkish President Tayyip Erdogan said on Saturday, in reference to the case of a Turkish bank executive who has been charged with evading U.S. sanctions on Iran."
"308","The Trump administration has named career diplomat Philip Goldberg to head the all-but-abandoned U.S. embassy in Havana, according to three sources familiar with the matter, at a time of heightened tensions between the United States and Cuba."
"309","Republicans held together and shoved their signature tax overhaul a crucial step ahead Tuesday as wavering GOP senators showed a growing openness. But its fate remained uncertain, and a planned White House summit aimed at averting a government shu..."
"310","The Latest on the nomination of Alex Azar to be health secretary (all times local):"
"311","Ethics committees from the House and Senate requested records on Friday detailing taxpayer-financed payments made over the years to settle claims of sexual harassment, discrimination and other prohibited behavior by members of Congress."
"312","Former White House strategist Steve Bannon told CNN Tuesday he is going to campaign for Alabama Senate candidate Roy Moore at a rally in the state next week, making a strong show of support for the embattled Republican a week before the special el..."
"313","A coalition of Chilean leftist parties on Thursday challenged presidential contender Alejandro Guillier to clarify his social and economic policies, withholding the outright endorsement sought by the center-left candidate."
"314","The Trump administration has named career diplomat Philip Goldberg to head the all-but-abandoned U.S. embassy in Havana, according to three sources familiar with the matter, at a time of heightened tensions between the United States and Cuba."
"315","China will not export its political system, President Xi Jinping told a forum for foreign political groups on Friday, as the ruling Communist Party seeks to boost its global image and take a more assertive international role."
"316","By Damir Sagolj"
"317","Asian countries can cope with interest rate hikes in the United States as long as the moves are gradual and reflect U.S. economic fundamentals, Asian Development Bank (ADB) President Takehiko Nakao said on Thursday. "
"318","An overhaul championed by President Trump and Republican leaders could reshape health care, education and social services."
"319","A subsidiary of an Italian energy company has received a federal permit to drill the first oil exploration wells in U.S. Arctic waters in two years."
"320","Federal prosecutors and lawyers for a former Louisiana congressman who famously hid $90,000 in his freezer are working on an agreement for his resentencing on corruption charges, according to court documents filed in the case."
"321","Yes, it’s dreadful policy. But it will be easier to reverse than other Trump priorities."
"322","A U.S. House panel on Friday approved legislation that would renew the National Security Agency&#8217;s warrantless internet surveillance program, despite objections from the technology sector and civil liberties groups over inadequate privacy pro..."
"323","By denying deductions for state and local taxes, the Republicans seek to force high-tax states run by Democrats to capitulate."
"324","Republican leaders passed the tax bill out of the Senate Budget Committee, clearing the way for it to come to the Senate floor later this week."
"325","Secretary of State Rex Tillerson declared Tuesday he is ""offended"" by the growing number of critical reports of his leadership, which accuse him of dismantling the State Department for political reasons."
"326","Lawyers for Jacob Zuma have until midnight to file papers outlining why nearly 800 corruption charges shelved before he became South African president eight years ago but recently reinstated by the courts should not be brought against him."
"327","President Donald Trump intends to nominate Marvin Goodfriend, a Carnegie Mellon University economics professor, for a seat on the Federal Reserve Board, the latest step in the administration's effort to put its stamp on the nation's central bank."
"328","Your daily look at late-breaking news, upcoming events and the stories that will be talked about today:"
"329","Senator Kirsten Gillibrand was the first in what would become a chorus of Democratic senators to call for their colleague Al Franken to resign."
"330","Republicans rammed a bill through the House on Wednesday that would make it easier for gun owners to legally carry concealed weapons across state lines, the first significant action on guns in Congress since mass shootings in Nevada and Texas kill..."
"331","Laura Russo is just the kind of voter the Republicans need, but the party's proposed tax overhaul, which includes limits on the deductions for mortgage interest, state taxes and property taxes, is pushing her away."
"332","A two-week stopgap measure would provide more time to negotiate, but obstacles loom on both sides of the aisle as lawmakers push their own priorities."
"333","With Republicans’ new ambitions, the bill heading toward completion is not just a tax cut, but the first step toward a long-held vision to undo the New Deal and Great Society."
"334","Senate passage of a trillion-dollar tax cut will be a much-needed Republican victory, but it remains to be seen whether it lifts them out of their political ditch."
"335","The Environmental Protection Agency announced it would not change the rule mandating a rising percentage of ethanol to be blended with gasoline."
"336","The U.S. Senate on Thursday delayed voting on a Republican tax overhaul as the bill was tripped up by problems with an amendment sought by fiscal hawks to address a large expansion of the federal budget deficit projected to result from the measure..."
"337","In less than two weeks, much of the government will run out of money, but a negotiating session at the White House on Tuesday blew up after President Trump attacked Democrats."
"338","Ann Marie Buerkle, a commissioner poised to run the federal agency, has rarely voted for a mandatory recall, a maximum fine, or a tougher safety standard."
"339","The Republican National Committee restored its support for Mr. Moore, the Senate candidate in Alabama who has stabilized in the polls after sexual misconduct accusations."
"340","Three senior Brazilian law enforcement officials, including the former prosecutor general, said new leaders of the federal police and prosecutors' offices are curbing an anti-corruption drive that challenged centuries of impunity in Latin America'..."
"341","The son of former Democratic Rep. John Conyers, who's a possible candidate for his father's vacated U.S. House seat, was arrested in February in Los Angeles after his girlfriend told police he body-slammed and then stabbed her during an argument, ..."
"342","Venezuela's former oil czar resigned as ambassador to the United Nations Tuesday on what he said were orders from President Nicolas Maduro, a sign of growing divisions in the ruling socialist party amid a deepening economic crisis."
"343","South Africa's deputy president got the majority of nominations to become leader of the ruling African National Congress, but the complexity of the leadership race means it's far from certain he will become the next party leader and therefore the ..."
"344","The Latest on tax bills in Congress (all times local):"
"345","The Latest on President Donald Trump's endorsement of Republican Roy Moore in the Alabama Senate race (all times local):"
"346","An Obama administration proposal that would have required airlines disclose checked and carry-on bag fees at the start of a ticket purchase rather than later is being dropped by the Department of Transportation."
"347","Honduran election officials said President Juan Orlando Hernández had won a narrow margin of votes, but international monitors asked for recounts."
"348","The cellphone alert, which went to at least eight million people, was California’s largest use ever of a federal warning system activated in 2012."
"349","Wall Street rose on Thursday, buoyed by popular technology companies including Facebook and Alphabet, while shares of yoga pants seller Lululemon Athletica also worked up a sweat. "
"350","John Anderson, a former Republican congressman who challenged the party's conservative drift by taking on its chief symbol, Ronald Reagan, and ran for president as an independent in 1980, died on Sunday. He was 95."
"351","The Dow Jones Industrial Average reached a record high on Monday, with banks and retailers surging and technology companies falling as investors realigned their portfolios in hopes of benefiting from expected corporate tax cuts."
"352","The United States has formally told the World Trade Organization (WTO) that it opposes granting China market economy status, a position that if upheld would allow Washington to maintain high anti-dumping duties on Chinese goods."
"353","The Interior Department said Thursday it is delaying an Obama-era regulation aimed at restricting harmful methane emissions from oil and gas production on federal lands."
"354","The Pentagon will indefinitely delay a ban on the use of older types of cluster bombs due to take effect on Jan. 1, 2019, officials said, arguing that safety improvements in munitions technology failed to advance enough to replace older stockpiles..."
"355","President Donald Trump's efforts to make the United States ""energy dominant"" with help from Alaska got off to modest results Wednesday."
"356","The Latest on a resolution by a Democratic lawmaker to impeach President Donald Trump (all times local):"
"357","A warm start to the winter has boosted steel prices and margins for mills in China, the world's top producer, as the higher temperatures have allowed projects to proceed that would normally have come to a halt."
"358","North Korea's decision to hold talks with a senior United Nations official, who is also an American citizen and former U.S. diplomat, presents a rare opportunity for both sides to sound each other out in the increasingly isolated North Korean capi..."
"359","The Organization of American States (OAS) said on Wednesday it may call for new Honduran elections if any ""irregularities"" undermine the credibility of results in last month's disputed vote that has sparked a crisis in the Central American nation."
"360","Ms. Brown, a former representative from Florida, was convicted of fraud after using over $300,000 from the charity for personal expenses, including tickets to a Beyoncé concert."
"361","Eight Latin American governments on Wednesday applauded Honduras' willingness to recount disputed votes in the presidential elections, but questions remain about how thorough that recount will be."
"362","The son of former Democratic Rep. John Conyers, who's a possible candidate for his father's vacated U.S. House seat, was arrested in February in Los Angeles after his girlfriend told police he body-slammed and then stabbed her during an argument, ..."
"363","The Senate on Wednesday barreled toward the most sweeping rewrite of the tax code in more than three decades as the top Republican senator said he was willing to compromise on a major sticking point for lawmakers from high-tax states such as New Y..."
"364","President Donald Trump's eldest son and a former business associate of the president are due to testify to the U.S. House of Representatives Intelligence Committee, as it continues its investigation of possible Russian involvement in the 2016 elec..."
"365","U.S. Senate Republicans made last-minute changes to their tax bill to secure enough votes to pass the sweeping legislation on Saturday and move on to negotiations this week on a final measure with Republicans in the House of Representatives."
"366","With more competitive congressional districts, representatives would be more likely to work with the opposing party and listen more closely to their constituents, Democrats suing for a new congressional map in Pennsylvania told a panel of judges o..."
"367","Former U.S. Rep. Corrine Brown, once a powerful Florida Democrat, was sentenced Monday to five years in prison for fraud and other crimes related to a purported charity for poor students that she used as a personal slush fund."
"368","Is Santa Claus coming to town? Wall Street thinks so, even though stocks have already exceeded most expectations this year."
"369","Ali Abdullah Saleh, the former president of Yemen, said he was ready for a “new page” in ties with the Saudi-led coalition if it stopped attacks on his country."
"370","U.S. Senate Republicans made last-minute changes to their tax bill to secure enough votes to pass the sweeping legislation on Saturday and move on to negotiations this week on a final measure with Republicans in the House of Representatives."
"371","Americans are signing up in growing numbers for the Affordable Care Act's subsidized health insurance, the government said Wednesday. But with enrollment season cut in half and just over a week to go, experts say the final tally will likely fall s..."
"372","President Trump nominated Marvin Goodfriend, an economist at Carnegie Mellon University, to an open seat on the Federal Reserve’s board."
"373","The leaders of Germany's Social Democrats (SPD) agreed on Monday to enter talks with Chancellor Angela Merkel's conservatives on forming a government that could end political deadlock in Europe's largest economy."
"374","President Donald Trump's administration announced Friday that it won't require mining companies to prove they have the financial wherewithal to clean up their pollution, despite an industry legacy of abandoned mines that have fouled waterways acro..."
"375","President Donald Trump lashed out Friday after a jury acquitted a Mexican man in the killing of a woman on a San Francisco pier, calling the verdict ""disgraceful"" and suggesting Democrats will pay a price for being ""weak on Crime."""
"376","You don’t need to be an expert in tax policy to get caught up on what the far-reaching proposal could mean."
"377","“Annie Leibovitz: Portraits 2005-2016” collects images of influence from all corners of contemporary culture."
"378","Wall Street fell on Friday, whipsawed by developments with a probe into Russia's alleged involvement in the U.S. election as well as with progress on a tax bill in Congress."
"379","The U.S. government is considering setting new payment methods aimed at curbing costs for Medicare and Medicaid coverage of breakthrough medical treatments with very high prices, particularly novel gene-based therapies for cancer and other disease..."
"380","U.S. Special Counsel Robert Mueller's office has spent about $3.2 million in the first 4-1/2 months of its investigation into Russian meddling in the 2016 presidential election, the Justice Department revealed in a report on Tuesday."
"381","U.S. Republicans in Congress are grappling with a thorny question about corporate taxes as they work to reconcile competing tax bills from the Senate and House of Representatives into a unified measure that they hope President Donald Trump will si..."
"382","Two days after a federal court endorsed President Donald Trump's deregulatory pick for a consumer watchdog, a rival official was encouraging agency staff to keep up the pressure on the lending industry, several current and former officials said on..."
"383","Democrats in Congress are pushing for investigations into how the Federal Emergency Management Agency awarded contracts worth $30 million to a fledgling company for Hurricane Maria disaster supplies that it failed to deliver to Puerto Rico."
"384","A judge on Thursday denied an emergency request for relief funds by three Texas churches damaged during Hurricane Harvey that are suing the federal government over how it offers disaster aid to houses of worship."
"385","The U.S. government is considering setting new payment methods aimed at curbing costs for Medicare and Medicaid coverage of breakthrough medical treatments with very high prices, particularly novel gene-based therapies for cancer and other disease..."
"386","New orders for U.S.-made goods fell less than expected in October and shipments of core capital goods were much stronger than previously reported, pointing to sustained strength in manufacturing that should buoy the economy."
"387","Democratic U.S. congressman John Conyers faced increasing pressure to resign on Wednesday, with the No. 2 Democrat in the House of Representatives saying he should step aside if sexual harassment accusations against him were true."
"388","A proposal to amend a tax bill in the U.S. Senate with a trigger to automatically reverse tax cuts if new revenues fall short of forecasts could further pressure businesses and the economy if the economy slows, critics said on Wednesday."
"389","A conservative activist who for years exchanged online messages with Texas Republican Rep. Joe Barton says that when he occasionally steered the topic toward sexual themes, she long dismissed it as ""that's just Joe."""
"390","Alex Azar, a former drug industry executive and lobbyist nominated to run the U.S. Department of Health and Human Services, promised on Wednesday to lower drug prices and said he was unaware of any efforts to sabotage the healthcare law passed und..."
"391","A former navy captain known as the ""Angel of Death"" was sentenced Wednesday to life in prison for human rights violations committed at a notorious clandestine detention and torture center during Argentina's 1976-1983 dictatorship."
"392","Readers worry that eliminating rules that ensure a level playing field will allow internet gatekeepers to abuse their power and play favorites."
"393","The rugged “Vikings” returns for its fifth season. And “The Marvelous Mrs. Maisel” arrives for streaming."
"394","An Air Force Academy office that was supposed to help sexual assault victims was crippled by infighting, poor management, rumors and shoddy record-keeping, an internal investigation found."
"395","A small Montana company that landed and lost a $300 million contract to restore Puerto Rico's hurricane-shattered electric grid has sued a subcontractor for allegedly interfering with tens of millions of dollars in payments."
"396","The United States has formally told the World Trade Organization (WTO) that it opposes granting China market economy status, a position that if upheld would allow Washington to maintain high anti-dumping duties on Chinese goods."
"397","Venezuela ""systematically"" abused anti-government protesters this year, two rights groups said on Wednesday, including through beatings, firing tear gas canisters in closed areas and forcing detainees to eat food tainted with excrement."
"398","The three top Democrats in the U.S. House of Representatives  called on Democratic congressman John Conyers on Thursday to resign in light of the sexual harassment allegations he faces, but Conyers' attorney said he was not thinking of stepping do..."
"399","Corrections appearing in print on Tuesday, November 28, 2017."
"400","The Latest on President Donald Trump's ""Pocahontas"" political jab at an event honoring Navajo Code Talkers (all times local):"
"401","Alabama Democrat Doug Jones said Tuesday that Republican Roy Moore is trying to ""dodge"" a discussion of his record and the accusations against him in their U.S. Senate race."
"402","Troy Hunt has collected a trove of 4.8 billion stolen identity records pulled from the darkest corners of the internet &#8212; but he isn't a hacker."
"403","Republicans say their proposals will set off a wave of investment, hiring and raises. But the outlook from the executive suite is not so clear."
"404","Social media gets all the attention for polarization, but TV is doing more than its share."
"405","Following are five big themes likely to dominate thinking of investors and traders in the coming week and the Reuters stories related to them."
"406","President Donald Trump gave embattled GOP Senate candidate Roy Moore a vigorous formal endorsement Monday, looking past allegations of sexual misconduct with Alabama teenagers as Republican leaders in Washington, once appalled by Moore's candidacy..."
"407","President Trump officially recognized Jerusalem as the capital of Israel on Wednesday, reversing decades of American foreign policy."
"408","Hundreds of participants attended the opening of a human rights forum in Beijing on Thursday in the latest installment of China's energetic drive to showcase what it considers the strengths of its authoritarian political system under President Xi ..."
"409","In an extraordinary attack on the top law enforcement body in his own government, President Trump accused the F.B.I. and its career investigators of having a bias against him."
"410","The Latest on FBI Director Christopher Wray's testimony to Congress (all times local):"
"411","Here’s what you need to know to start your day."
"412","House Republicans are embracing the Senate’s repeal of the health law’s mandate that most people have insurance, but they are not buying a side deal to stabilize insurance markets."
"413","The following is the text of an address made by President Donald Trump announcing the recognition by the United States of Jerusalem as Israel's capital."
"414","Essential to Philip D. Murphy’s agenda was a so-called “millionaire’s tax,’’ but legislators are rethinking that plan in light of the federal measure."
"415","In a year full of electoral events, continuity is good news for the region."
"416","The drastic cuts to the protected area of the national monument in Utah are expected to touch off a legal battle that could alter the course of American land conservation."
"417","One of Representative John Conyers Jr.’s accusers appeared on “Today” to explicitly detail her harassment accusations, prompting House leaders to say he should go."
"418","The acting foreign minister, Sigmar Gabriel, calls for a bolder foreign policy role for Berlin, as Germans say they worry more about the U.S. than North Korea or Iran."
"419","The threat of new U.S. sanctions has spread anxiety among Russia's wealthiest people that their association with President Vladimir Putin could land them on a U.S. government blacklist, members of the business elite say."
"420","Lawmakers are scrambling to fix a last-minute provision inserted into the Senate tax bill that could nullify tax breaks many corporations rely on to help fund research."
"421","Dealt a setback on taxes, Senate Majority Leader Mitch McConnell was forced to turn to one of his harshest Republican antagonists to pass the most sweeping tax package in more than three decades."
"422","Impeachment just became a lot more likely."
"423","For all her tough talk, the education secretary has made little progress on priorities like school vouchers and charter schools. Allies blame the storms around the president."
"424","One of the nation’s most significant cultural sites could be at risk from planned oil and gas extraction nearby."
"425","President Trump told Senators Mitch McConnell, Richard Burr and others that he wanted an inquiry into Russian interference in the election to come to a close."
"426","Mr. Cotton, a senator from Arkansas, would be the youngest person ever to run the C.I.A. should a White House plan to shuffle the cabinet come to fruition."
"427","A transcript of President Donald Trump's remarks about formally recognizing Jerusalem as Israel's capital, as delivered at the White House Wednesday."
"428","A veteran of the fight to take a Pacific atoll in World War II, he fought for the return of Marines’ remains and to restore a beach as “hallowed ground.”"
"429","Some lawmakers charged with sexual harassment face intense pressure to resign. Others find more tolerance. There seems to be no rhyme or reason to the responses."
"430","Today in History"
"431","Steven Mnuchin, the Treasury secretary, has promised that an analysis of the tax bill will show robust economic growth, but that report has yet to materialize."
"432","Republicans muscled the largest tax overhaul in 30 years through the Senate early Saturday, taking a big step toward giving President Donald Trump his first major legislative triumph after months of false starts and frustration on other fronts."
"433","The Latest on allegations of sexual misconduct against Rep. John Conyers (all times local):"
"434","For instance, India can teach us the power of digitized data."
"435","Some House Democrats hope that the sexual harassment scandal that cost Representative John Conyers Jr. his Judiciary post could hasten other changes."
"436","Here’s what you need to know to start your day."
"437","Jerome H. Powell, nominated to be the Fed’s next chairman, told senators he would continue the bank’s current path of monetary and regulatory policies."
"438","President Donald Trump on Wednesday shared anti-Muslim videos posted on Twitter by a far-right British party leader, drawing condemnation from Britain, U.S. Muslim groups and some members of Congress."
"439","A federal judge denied an emergency request on behalf of an Obama-era holdover who disputed President Trump’s decision to appoint a new acting director of the Consumer Financial Protection Bureau."
"440","As his company closes in on a deal for much of the Fox media empire, the C.E.O. may have to postpone retirement yet again to oversee post-merger work."
"441","Many mainstream economists say they're appalled by President Donald Trump's threats to trash trade agreements and tax imports in a blunt-force drive to shrink America's bulging trade deficits."
"442","The U.S. trade deficit increased to a nine-month high in October due to rising oil prices and the widening of America's long-standing deficits with China and Mexico."
