"","location"
"204","Lebanon's pro-Hezbollah al-Akhbar newspaper declared ""Death to America"" on its front page on Thursday, the strongest reaction among universally critical Lebanese press coverage of U.S. President Donald Trump's decision on the status of disputed Je..."
"205","Palestinians switched off Christmas lights at Jesus' traditional birthplace in Bethlehem on Wednesday night in protest at U.S. President Donald Trump's decision to recognize Jerusalem as Israel's capital."
"206","European Council President Donald Tusk canceled a trip to Israel and the Palestinian Territories planned for this week due to a ""critical moment"" in Brexit negotiations, an EU official said on Monday."
"207","Thousands of Palestinian protesters clashed with Israeli forces in east Jerusalem and the West Bank, demonstrators in the Gaza Strip burned U.S. flags and pictures of President Donald Trump, and a top Palestinian official said Vice President Mike ..."
"208","Israel's intelligence minister said Thursday he plans to succeed Prime Minister Benjamin Netanyahu who is embroiled in corruption scandals and a police investigation."
"209","A man with a Palestinian flag yelling ""God is great"" was detained by police in the Netherlands on Thursday after smashing the windows of a kosher Jewish restaurant in Amsterdam."
"210","The Supreme Court is indicating it could prevent survivors of a 1997 terrorist attack from seizing Persian artifacts at Chicago museums to help pay a $71.5 million default judgment against Iran."
"211","Israel is lashing out at the European Union for its ""patronizing"" approach of marking International Human Rights Day with an exhibit critical of Israel's occupation of the West Bank."
"212","The White House said the president's throat was merely dry when he seemed to slur his words during a Wednesday address."
"213","A private French school in Lebanon has issued an apology following complaints from the parents of a fourth grader that a map in geography class shows Israel&#8212; and not Palestine&#8212; as the country's southern neighbor, violating the law."
"214","Germany's foreign minister says Europe needs to act more decisively to defend its values and interests, if necessary by standing up to the United States."
"215","Israel's internal security service says it has arrested two residents of southern Israel suspected of stabbing to death an Israeli soldier for nationalistic reasons."
"216","Israeli police say an explosion in the port city of Jaffa killed three people and led to the collapse of a building."
"217","Israeli Prime Minister Benjamin Netanyahu has reached an agreement with his ultra-Orthodox allies to avert a potential coalition crisis following the resignation of his health minister over a scandal tied to railway infrastructure work on the Sabb..."
"218","A lawmaker from Israel's governing Likud party has been charged with assault for allegedly attacking the mayor of his hometown in 2014, before he was elected to parliament."
"219","An Israeli court has ordered Uber to stop its ride-sharing operations in Israel less than a month after launching the service in Tel Aviv."
"220","Israel's military has for the first time deployed its Iron Dome rocket defense system aboard a ship."
"221","Palestinian factions stepped up efforts on Thursday to finalize a Hamas handover of the Gaza Strip to President Mahmoud Abbas as protests broke out in the enclave against the U.S. recognition of Jerusalem as Israel's capital. "
"222","The U.S. House of Representatives voted on Tuesday to sharply reduce the annual $300 million in U.S. aid to the Palestinian Authority unless it take steps to stop making what lawmakers described as payments that reward violent crime."
"223","Vice President Mike Pence said Tuesday that President Donald Trump is ""actively considering when and how"" to move the U.S. Embassy from Tel Aviv to Jerusalem, a decision fiercely opposed by the Palestinians."
"224","The Israeli military said on Thursday that an aircraft and a tank had targeted two posts belonging to militants in the Gaza Strip after three rockets were launched at Israel."
"225","The chilly reception given to the secretary of state in Brussels reflected concerns about President Trump’s positions on Jerusalem and Iran."
"226","Next year's Giro d'Italia promises a volcanic opening week with Mount Etna confirmed on Wednesday as the first summit finish in the 101st edition of the race."
"227","Next year's Giro d'Italia promises a volcanic opening week with Mount Etna confirmed on Wednesday as the first summit finish in the 101st edition of the race."
"228","U.S. President Donald Trump called for Saudi Arabia on Wednesday to immediately allow humanitarian aid to reach the Yemeni people, suggesting Washington had run out patience with a Saudi-led blockade that has been condemned by relief organizations..."
"229","France and Qatar signed commercial contracts worth around 12 billion euros  ($14.15 billion) on Thursday, French President Emmanuel Macron said, adding that the deals underscored the close relationship between the two countries."
"230","U.S. Secretary of State Rex Tillerson delivered a message of support to European allies in Brussels on Tuesday but their concerns about President Donald Trump's foreign policy have created a rift on a host of issues."
"231","Israel may have to make adjustments to its corporate tax rate, Finance Minister Moshe Kahlon said on Saturday in response to a tax slash approved by the U.S. Senate."
"232","After a half-century of failed peace initiatives, his administration seems to believe the stars have finally aligned."
"233","British foreign secretary Boris Johnson singled out the Muslim Brotherhood and its associates for criticism on Thursday in a speech calling for a renewed western diplomatic push in the Middle East to tackle Islamic extremism. "
"234","Israel on Wednesday launched a program to provide shuttle service for Gazans who need to travel to the U.S. Consulate in Jerusalem &#8212; an operation that could ease one of the many restrictions it places on Palestinians who want to exit the blo..."
"235","It’s about time."
"236","U.S. Supreme Court justices expressed skepticism on Monday over whether ancient Persian artifacts held in a Chicago museum can be seized to pay for a $71 million court judgment against Iran won by several Americans injured in a 1997 Jerusalem bomb..."
"237","About 20,000 Israelis demonstrated in Tel Aviv on Saturday against government corruption and Prime Minister Benjamin Netanyahu who is under criminal investigation over allegations of abuse of office."
"238","Syrian state media on Monday said Israel had fired missiles at a Syrian military facility in the Damascus countryside, adding that Syrian air defence systems had intercepted three of the missiles."
"239","The media adviser to Prime Minister Benjamin Netanyahu issues a forceful rebuttal to Mr. Barak’s Op-Ed essay."
"240","Here’s what you need to know to start your day."
"241","The Latest on the Olympic games in Pyeongchang (all times local):"
"242","Israeli missiles struck a military position near Damascus and Syria's air defence system responded on Saturday, destroying two of them, Syrian state television said."
"243","Your daily look at late-breaking news, upcoming events and the stories that will be talked about Friday:"
"244","Your daily look at late-breaking news, upcoming events and the stories that will be talked about Wednesday:"
"245","Israel plans to appoint a new ambassador to Jordan in a bid to calm Amman's anger over the current envoy's handling of a shooting by an embassy guard in July that has strained relations, an Israeli diplomatic source said on Wednesday. "
"246","Your daily look at late-breaking news, upcoming events and the stories that will be talked about Thursday:"
"247","A minister who heads an ultra-Orthodox Jewish party in Israel's government resigned on Sunday in protest at rail work that was done on the Jewish sabbath, but Prime Minister Benjamin Netanyahu's coalition did not appear to be in immediate danger."
"248","An Israeli and a Palestinian were killed on Thursday in two separate incidents in Israel and the occupied West Bank, officials said."
"249","Four funds are interested in buying control of Bezeq Israel Telecom from holding company Eurocom, which needs to repay bank debt and whose chairman is under investigation for securities fraud, according to a media report."
"250","Weeks ahead of the expected completion of a U.N. database of companies that operate in Israel's West Bank settlements, Israel and the Trump Administration are working feverishly to prevent its publication."
"251","The couple met through a friend of the bride, who also dated the groom but decided the bride would be a better fit for him."
"252","Eager for American Jews to appreciate their heritage, Ms. Jochsberger, who left Nazi Germany in 1939, started what is now the Kaufman Music Center."
"253","The Latest on The Associated Press Newsmaker interview with Sen. Tom Cotton, R-Ark. (all times local):"
"254","Prime Minister Benjamin Netanyahu’s ruling coalition is irrational, bordering on messianic."
"255","Your daily look at late-breaking news, upcoming events and the stories that will be talked about today:"
"256","Already co-writing a political thriller with former President Bill Clinton, James Patterson is now set for a collaboration with the managers of Albert Einstein's archives."
"257","A resurgence of Israel’s so-called Sabbath wars leads an ultra-Orthodox minister to quit on his rabbi’s orders, putting pressure on others in Prime Minister Benjamin Netanyahu’s cabinet."
"258","Your daily look at late-breaking news, upcoming events and the stories that will be talked about today:"
"259","Your daily look at late-breaking news, upcoming events and the stories that will be talked about today:"
"260","Kweku Adoboli, a former UBS trader jailed for Britain's biggest fraud over unauthorised trades that cost the Swiss bank $2.3 billion (&#163;1.7 billion), averted the immediate threat of deportation at a court hearing in London on Thursday."
"261","Britain's Chris Froome will attempt to become the first rider to claim the Giro d'Italia/Tour de France double for 20 years after confirming on Wednesday he would tackle both races in 2018."
"262","Germany should be more assertive in setting foreign policy according to its own interests rather than to those of the United States, the German foreign minister said on Tuesday. "
"263","Israel's parliament has passed the first stage of a contentious piece of legislation that may prevent police from recommending if Prime Minister Benjamin Netanyahu should be prosecuted on corruption allegations."
"264","Israeli Prime Minister Benjamin Netanyahu said on Sunday that a draft bill that sets limits on police investigators should be revised so it does not apply to criminal probes in which he is a suspect."
"265","Share prices were mixed in Asia on Thursday, with Japan and Australia leading gains after U.S. indexes stabilized overnight."
"266","The Republican-led House easily approved legislation Tuesday that would restrict financial aid that directly benefits the Palestinian Authority until it takes credible steps to end what lawmakers say is a practice of rewarding Palestinians who kil..."
"267","The acting foreign minister, Sigmar Gabriel, calls for a bolder foreign policy role for Berlin, as Germans say they worry more about the U.S. than North Korea or Iran."
"268","Israeli tanks and aircraft struck militant positions in the Gaza Strip on Thursday soon after Palestinian militants fired mortar shells at an Israeli military post close to the territory, the Israeli army said."
"269","Israel's health minister, who heads a powerful ultra-Orthodox political party in Benjamin Netanyahu's coalition, resigned on Sunday, saying he opposed continued maintenance work on the country's railways on the Sabbath, when all labor is strictly ..."
"270","Israeli Prime Minister Benjamin Netanyahu on Sunday ordered his backers to reword a contentious piece of legislation that could potentially stifle a police investigation against him, in what appeared to be an attempt to defuse rising public anger ..."
"271","President Trump called on the Saudi government to lift the restrictions on Yemen, saying it “must be done for humanitarian reasons immediately.”"
"272","Great reads around the web, from Anna Dubenko, Justin Bank and others."
"273","The Israeli parliament voted on Monday in favor of a draft law barring police from publicizing its conclusions in criminal probes -- legislation seen as shielding Prime Minister Benjamin Netanyahu, who is under investigation for corruption."
"274","Led by the president’s son-in-law, Jared Kushner, the White House team hopes to develop an American blueprint for resolving Israeli-Palestinian conflict."
"275","The American secretary of state and the Russian foreign minister traded barbs at a security conference in Vienna."
"276","Asian shares hovered near two-month lows on Thursday as softer oil and copper prices and uncertainty over U.S. policy kept many investors on the sidelines, even as some high-tech bellwethers bounced back after a searing sell-off."
"277","Here’s what you need to know at the end of the day."
"278","The White House press secretary said that no official decision has been made, and that U.S. and South Korea are working to secure the venues."
"279","What do you do when you're America's top diplomat, fourth in line to the presidency, and the White House makes it publicly known you're living on borrowed time? If you're Secretary of State Rex Tillerson, you brush it off, pack a suitcase and hop ..."
"280","British Prime Minister Theresa May failed to secure a breakthrough in Brexit talks on Monday with European Commission President Jean-Claude Juncker. "
"281","A Düsseldorf museum had long planned the exhibit to pay homage to Max Stern, a Jewish gallerist who was forced to sell his art works and flee in 1938."
"282","New York Times journalists stationed abroad share how they've adapted Thanksgiving in their adopted homes."
"283","You’ve heard the one about the consultant who hung it all up to write a cookbook, right? No, really. She well understood the power of micro-steps."
"284","Ethiopia is one of the more exciting places to visit in the world right now: An attractive mix of ancient tradition and rapid modernization."
"285","Masha Gessen, a visiting professor at Amherst, tells why, on this Thanksgiving, her annual ritual of hosting strangers is more important and more difficult."
"286","People texted in the pews during Sunday Mass at St. Patrick’s Cathedral in Manhattan, despite Pope Francis’ declaration last week that phones were an “ugly” distraction."
"287","Among many other accomplishments, Mr. Katz expanded the Metropolitan Museum of Art’s audience by showcasing its collection on film and television."
"288","This week’s Australia Letter includes events you should attend, stories you should tell, and the difference between “chips” and “fries.”"
"289","Three couples denied marriage in Israel for various reasons were wed in a festive ceremony in New York."
"290","The young soprano Aida Garifullina expands the role and branches out with her first album."
"291","Here’s what you need to know to start your day."
"292","Here’s what you need to know to start your day."
"293","Here’s what you need to know about the week’s top stories."
"294","Here’s what you need to know to start your day."
"295","I wanted to go back to the West Bank for a memorial service with my family. I was barred because I am a human rights advocate."
"296","An exhibition at the Institut du Monde Arabe in Paris looks at 2,000 years of Christians in the Arab World. It has a message for France — and for us all."
"297","Rosemarie Koczy, whose works memorialized genocide victims, was accused by archivists of faking a past in Nazi concentration camps."
"298","African-Americans are going meatless in growing numbers, for reasons that range from politics to pop culture."
"299","Collaborating with his screenwriter, Kenneth Branagh updated and altered “Murder on the Orient Express” to give it a contemporary resonance."
"300","As his company closes in on a deal for much of the Fox media empire, the C.E.O. may have to postpone retirement yet again to oversee post-merger work."
"301","The country has been home to the Phoenicians, the Greeks, the Romans and the Ottomans — which might explain the allure of this Mediterranean gem."
